Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,11,3096,1999,1268,305,549,16,548,3445,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri,11,3096,1999,1268,305,549,16,548,3445,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\DCEL,3,1593,941,611,133,288,4,364,2016,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\Extrusion,1,264,193,129,17,54,4,17,146,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\Properties,1,31,15,4,0,3,0,13,67,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\Triangulation,4,732,559,352,95,137,2,36,436,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\obj,0,0,0,0,0,0,0,0,0,0,0
D:\Dokumente\Git\Fusee_Fork\src\Jometri\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
