Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,17,16198,7472,3914,665,2238,25,6488,34102,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math,17,16198,7472,3914,665,2238,25,6488,34102,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Conversion,2,532,239,127,26,56,0,237,1985,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Conversion\Properties,1,35,14,3,0,4,0,17,111,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core,15,15666,7233,3787,639,2182,25,6251,32117,0,0
D:\Dokumente\Git\Fusee_Fork\src\Math\Core\Properties,1,43,16,3,0,10,0,17,111,0,0
