File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,AParamClass::DoSomethingElse(),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,AParamClass::GetI(),2,2,2,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::MyClass(),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::MyClass(MyClassInternal *pImpl),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::~MyClass(),3,3,3,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::SimpleMethod(double d),2,2,2,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::InterfaceMethod(double d),2,2,2,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::StringMethod(const char *str),4,3,3,1,0,0,1,4,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::BlittableMethod(MyBlittableStruct s),8,2,2,1,0,0,6,27,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::StructMethod(MyParamStruct s),8,3,3,1,0,0,5,14,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::ClassMethod(AParamClass *c),2,2,2,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::SetDelegate(FuseeQtHostBridge::MyDelegateType pfnMyDelegateType),5,5,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::CallDelegate(double d),2,2,2,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::set_I(int i),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::get_I(),2,2,2,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyCaller::MyCaller(),3,3,3,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyCaller::~MyCaller(),3,3,3,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,"MyCaller::InvokeCall(IMyInterface *pMI, double d)",3,2,2,1,0,0,1,1,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,CheckVersion(),13,8,6,1,0,0,5,10,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,"DllMain( HMODULE hModule, DWORD ul_reason_for_call, LPVOID lpReserved )",2,2,2,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\CPPInteropImp.h,_CLASS_NAME_::_CLASS_NAME_(),2,2,1,0,0,0,0,0,
